"GSI","year","month"
-0.4977831639,1998,1
-1.54072174,1998,2
-1.365124887,1998,3
-1.298400103,1998,4
-0.1664150154,1998,5
-0.5342161762,1998,6
-0.317575456,1998,7
-0.05891361445,1998,8
-0.01901477942,1998,9
0.1576213037,1998,10
0.4098746041,1998,11
1.484476682,1998,12
1.083039952,1999,1
1.745160205,1999,2
1.036273503,1999,3
1.482419879,1999,4
1.678428753,1999,5
1.796621154,1999,6
1.225385373,1999,7
0.4877964859,1999,8
0.8532060912,1999,9
1.311101875,1999,10
0.5469931228,1999,11
-0.4618253637,1999,12
0.5037463116,2000,1
0.5139478846,2000,2
0.549932055,2000,3
0.4702831369,2000,4
1.133615498,2000,5
0.5863498241,2000,6
0.4050575738,2000,7
1.223774945,2000,8
0.5903665325,2000,9
1.377035709,2000,10
1.197445588,2000,11
0.6804641055,2000,12
-0.531421561,2001,1
-0.6608706406,2001,2
0.2965311946,2001,3
0.2949065897,2001,4
-0.1002870253,2001,5
0.4609600695,2001,6
0.4753507341,2001,7
-0.688061639,2001,8
-0.03471902771,2001,9
0.721989394,2001,10
1.054218754,2001,11
2.181567473,2001,12
1.542510589,2002,1
1.077206243,2002,2
1.367188534,2002,3
1.075470887,2002,4
1.698013088,2002,5
1.283507491,2002,6
1.869149289,2002,7
1.050227048,2002,8
0.06161592881,2002,9
1.453586306,2002,10
1.339859934,2002,11
1.585986712,2002,12
0.8657537259,2003,1
0.3021086594,2003,2
0.01570532608,2003,3
-0.01271214742,2003,4
-0.0255,2003,5
0.1652416011,2003,6
0.2535878609,2003,7
0.1344193028,2003,8
0.0308394457,2003,9
0.540731928,2003,10
-0.2474158779,2003,11
0.160673001,2003,12
0.1550103625,2004,1
-0.1818443325,2004,2
-0.3480222417,2004,3
-0.4622642734,2004,4
0.09015840054,2004,5
-0.02949928155,2004,6
-0.3912292274,2004,7
-0.6102519995,2004,8
-0.2461537631,2004,9
-0.3700249785,2004,10
-0.8499921092,2004,11
-0.4713923024,2004,12
-0.4813815814,2005,1
-0.3636211348,2005,2
-0.3556611708,2005,3
-0.193153107,2005,4
-0.7980341422,2005,5
-0.2362761385,2005,6
-0.08773894646,2005,7
0.1423131631,2005,8
0.291912654,2005,9
-0.3225931127,2005,10
-0.3116674775,2005,11
-0.1810106549,2005,12
0.2223167883,2006,1
0.6178591234,2006,2
0.02302706979,2006,3
0.4380362884,2006,4
0.6144314765,2006,5
0.195981604,2006,6
-0.05550949481,2006,7
0.2319579851,2006,8
-0.2685445759,2006,9
-0.8726096793,2006,10
-0.6382563511,2006,11
-0.8911083088,2006,12
-1.114169845,2007,1
-0.6208123042,2007,2
-0.8679164256,2007,3
-1.180265557,2007,4
-1.042751681,2007,5
-0.9096309928,2007,6
-0.7511229408,2007,7
-0.4005336254,2007,8
-0.5837657237,2007,9
-0.8318418927,2007,10
-1.388250047,2007,11
-0.2192909976,2007,12
0.2014720764,2008,1
0.06441986815,2008,2
1.358988428,2008,3
0.2630686056,2008,4
0.8838591341,2008,5
0.2317249011,2008,6
0.0299090066,2008,7
-0.3068958376,2008,8
-0.5065926737,2008,9
-0.08329193432,2008,10
-0.03078443305,2008,11
0.4268228343,2008,12
-0.0245768381,2009,1
0.3982017355,2009,2
0.5449708421,2009,3
0.2208318959,2009,4
0.4881333071,2009,5
0.1438263319,2009,6
0.6716266524,2009,7
1.018744801,2009,8
1.549474944,2009,9
1.199018775,2009,10
0.7881681078,2009,11
0.8842974165,2009,12
1.335686623,2010,1
0.6770846022,2010,2
-0.09492761635,2010,3
0.6259310083,2010,4
0.491089485,2010,5
0.4078245981,2010,6
0.4866999059,2010,7
0.1499691653,2010,8
0.4045979075,2010,9
-0.05261414856,2010,10
-0.3604870485,2010,11
-0.231212882,2010,12
-0.4034060868,2011,1
-0.2316034084,2011,2
-0.3200210775,2011,3
-0.1060238449,2011,4
-0.3730363302,2011,5
0.1664674202,2011,6
-0.1845572113,2011,7
-0.3474911077,2011,8
-0.01531151899,2011,9
0.531935741,2011,10
-0.06801616661,2011,11
0.2236064309,2011,12
-0.4520625502,2012,1
0.07726799888,2012,2
0.9838548626,2012,3
1.202910239,2012,4
1.506522933,2012,5
1.177189431,2012,6
0.7346158846,2012,7
0.3664934399,2012,8
0.3169288331,2012,9
0.6872994346,2012,10
0.5127201995,2012,11
1.098186557,2012,12
1.077994612,2013,1
1.128099151,2013,2
0.7563095802,2013,3
0.5940188007,2013,4
0.540095574,2013,5
0.1188103292,2013,6
0.1334934652,2013,7
0.4364353264,2013,8
0.8153355117,2013,9
0.8605340668,2013,10
0.9988997706,2013,11
0.8487459849,2013,12
0.6435761632,2014,1
1.604839979,2014,2
1.25857191,2014,3
1.13091239,2014,4
0.9774991224,2014,5
1.135558183,2014,6
1.067080073,2014,7
1.181903298,2014,8
1.151224337,2014,9
0.920669444,2014,10
0.824481549,2014,11
1.387536529,2014,12
1.777955804,2015,1
1.96338456,2015,2
1.455052102,2015,3
1.120753142,2015,4
0.8656054762,2015,5
0.6458543993,2015,6
0.9423578712,2015,7
0.4712558944,2015,8
1.931950184,2015,9
1.604329929,2015,10
1.754124647,2015,11
0.7704202581,2015,12
1.439962164,2016,1
2.115668438,2016,2
1.515363262,2016,3
1.459555695,2016,4
0.9087191246,2016,5
1.42008244,2016,6
1.747900963,2016,7
2.114101969,2016,8
1.917749429,2016,9
1.593753171,2016,10
0.7394351745,2016,11
0.6937030667,2016,12
0.9946216983,2017,1
0.8375055248,2017,2
1.255917155,2017,3
0.7342375923,2017,4
0.3969377631,2017,5
0.6857212393,2017,6
1.58730243,2017,7
1.207736004,2017,8
0.9784057204,2017,9
0.9889595207,2017,10
1.029055079,2017,11
0.9607179603,2017,12
1.289611406,2018,1
1.904427048,2018,2
1.653378225,2018,3
1.619058442,2018,4
1.315250471,2018,5
1.075463008,2018,6
0.8509460134,2018,7
0.6955006251,2018,8
0.9681282409,2018,9
1.304009079,2018,10
1.250442289,2018,11
1.167595787,2018,12
0.8602794165,2019,1
1.743641883,2019,2
1.655934677,2019,3
1.268476434,2019,4
1.599444506,2019,5
1.215261728,2019,6
1.729432223,2019,7
1.870714608,2019,8
1.925469946,2019,9
1.427386513,2019,10
1.794371372,2019,11
1.947524482,2019,12
1.485039463,2020,1
1.386070326,2020,2
1.666380466,2020,3
0.9703855703,2020,4
1.239524314,2020,5
0.9201841982,2020,6
0.862155124,2020,7
0.9474480196,2020,8
1.548376621,2020,9
1.560500409,2020,10
1.201531641,2020,11
1.174447861,2020,12
1.384780837,2021,1
1.568281802,2021,2
1.400878831,2021,3
1.369396176,2021,4
1.519348169,2021,5
1.414892836,2021,6
1.068850984,2021,7
1.134734422,2021,8
1.332030618,2021,9
1.480438358,2021,10
1.401168669,2021,11
0.5628343758,2021,12
0.8739115368,2022,1
1.240995464,2022,2
1.426061499,2022,3
0.8723340955,2022,4
1.56573601,2022,5
1.525904865,2022,6
1.392130133,2022,7
1.504596414,2022,8
1.46056326,2022,9
1.647385655,2022,10
1.42336283,2022,11
1.146662414,2022,12
