year,recruit_est
1971,1242910
1972,1203990
1973,1313560
1974,1856550
1975,1868880
1976,1227140
1977,776690
1978,1213070
1979,2131760
1980,1841860
1981,1539600
1982,1801580
1983,4000240
1984,1561600
1985,1057910
1986,908620
1987,1044860
1988,1636590
1989,1953430
1990,1198670
1991,899610
1992,1287610
1993,2452280
1994,2331000
1995,969350
1996,916060
1997,1063230
1998,1690070
1999,3006720
2000,2915260
2001,1530140
2002,667620
2003,431210
2004,820600
2005,1178690
2006,2602410
2007,1778010
2008,1287580
2009,1073080
2010,682870
2011,768600
2012,549810
2013,861540
2014,2226250
2015,2545900
2016,779830
2017,707330
2018,2073180
2019,1385660
2020,1237260
